"","Date","Client","Industry","Location","Position","Skillset","Interview_Type","Gender","Candidate_Loc","Job_Location","Venue","Native_Loc","Permission","Hope","3_hour_call","Alt_Number","Resume_Printout","Clarify_Venue","Share_Letter","Expected","Attendance","Marital_Status","Distance","DayOfWeek"
"20","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Cochin","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Fri"
"21","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Trivandrum","no","yes","yes","yes","yes","yes","no","no","no","Single",0,"Fri"
"22","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Trivandrum","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"23","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Cochin","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"24","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Cochin","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Fri"
"25","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Trivandrum","yes","yes","yes","no","no","yes","yes","uncertain","no","Single",0,"Fri"
"26","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Cochin","no","no","yes","yes","yes","yes","no","no","no","Single",0,"Fri"
"27","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Bangalore","no","yes","yes","yes","yes","yes","no","no","no","Married",0,"Fri"
"28","2015-06-19","UST","IT","bangalore","Dot Net","Routine","scheduled walk in","Male","Bangalore","bangalore","Bangalore","Bangalore","no","yes","yes","yes","no","yes","no","no","no","Single",0,"Fri"
"29","2015-06-23","Standard Chartered Bank","BFSI","chennai","AML","Routine","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Tues"
"30","2015-06-23","Standard Chartered Bank","BFSI","chennai","AML","Routine","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Tues"
"31","2015-06-23","Standard Chartered Bank","BFSI","chennai","AML","Routine","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Tues"
"32","2015-06-23","Standard Chartered Bank","BFSI","chennai","AML","Routine","scheduled walk in","Female","Chennai","chennai","Chennai","Coimbatore","yes","yes","yes","no","yes","yes","no","uncertain","no","Single",0,"Tues"
"33","2015-06-23","Standard Chartered Bank","BFSI","chennai","AML","Routine","scheduled walk in","Male","Chennai","chennai","Chennai","Trichy","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Tues"
"34","2015-06-23","Standard Chartered Bank","BFSI","chennai","AML","Routine","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Married",0,"Tues"
"35","2015-06-23","Standard Chartered Bank","BFSI","chennai","AML","Routine","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","no","yes","no","yes","no","no","Married",0,"Tues"
"36","2015-06-23","Standard Chartered Bank","BFSI","chennai","AML","Routine","scheduled walk in","Male","Chennai","chennai","Chennai","Salem","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Tues"
"37","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Mon"
"38","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Mon"
"39","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Mon"
"40","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Mon"
"41","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","no","yes","no","no","Married",0,"Mon"
"42","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Female","Chennai","chennai","Chennai","Tanjore","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Mon"
"43","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Female","Chennai","chennai","Chennai","Trichy","yes","yes","yes","no","yes","yes","yes","no","no","Married",0,"Mon"
"44","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Male","Chennai","chennai","Chennai","Coimbatore","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Mon"
"45","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Married",0,"Mon"
"46","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Mon"
"47","2015-06-29","Standard Chartered Bank","BFSI","chennai","Trade Finance","Routine","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","no","no","no","yes","Married",0,"Mon"
"48","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"49","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"50","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"51","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"52","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Mumbai","yes","yes","yes","yes","yes","yes","yes","yes","no","Married",0,"Thurs"
"53","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Trichy","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"54","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Married",0,"Thurs"
"55","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"56","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"57","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"58","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"59","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Thurs"
"60","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Married",0,"Thurs"
"61","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Married",0,"Thurs"
"62","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"63","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"64","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"65","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"66","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Thurs"
"67","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"68","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"69","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"70","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"71","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"72","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"73","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"74","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Thurs"
"75","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"76","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"77","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"78","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Married",0,"Thurs"
"79","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Thurs"
"80","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"81","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Thurs"
"82","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"83","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Thurs"
"84","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Thurs"
"85","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","no","no","no","Married",0,"Thurs"
"86","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","no","yes","yes","yes","no","yes","yes","no","no","Single",0,"Thurs"
"87","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","no","yes","yes","no","yes","yes","yes","no","no","Single",0,"Thurs"
"88","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","no","yes","no","yes","no","no","Single",0,"Thurs"
"89","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","no","yes","yes","yes","yes","no","yes","no","no","Single",0,"Thurs"
"90","2015-06-25","Standard Chartered Bank","BFSI","chennai","Routine","Oracle","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","no","yes","yes","yes","yes","no","no","no","no","Married",0,"Thurs"
"91","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Wed"
"92","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"93","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Wed"
"94","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Married",0,"Wed"
"95","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"96","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Married",0,"Wed"
"97","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","no","Married",0,"Wed"
"98","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Wed"
"99","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Wed"
"100","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"101","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Wed"
"102","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Wed"
"103","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"104","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Wed"
"105","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"106","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"107","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Wed"
"108","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Wed"
"109","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Wed"
"110","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Wed"
"111","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"112","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Cochin","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"113","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Wed"
"114","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"115","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Cochin","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Wed"
"116","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"117","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"118","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Hyderabad","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Wed"
"119","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Trivandrum","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"120","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Trivandrum","yes","yes","yes","yes","yes","yes","yes","yes","yes","Married",0,"Wed"
"121","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","no","no","no","no","no","yes","yes","no","no","Single",0,"Wed"
"122","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","no","Single",0,"Wed"
"123","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"124","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","no","yes","no","no",NA,NA,"no","uncertain","yes","Single",0,"Wed"
"125","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","no","yes","yes","yes","no","no","no","no","no","Single",0,"Wed"
"126","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Male","Chennai","chennai","Chennai","Chennai","yes","yes","yes","yes","yes","yes","yes","yes","yes","Single",0,"Wed"
"127","2016-05-25","Standard Chartered Bank","BFSI","chennai","Routine","Accounting Operations","scheduled walk in","Female","Chennai","chennai","Chennai","Chennai","no","yes","yes","yes","no","no","no","no","no","Single",0,"Wed"
